epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,3371.06,1.48188,0.78435,1.01498,0.80821,0.49351,0.57018,0.30288,1.43652,0.69631,1.0009,0.00999996,0.00999996,0.00999996
38,3461.65,1.49869,0.79878,1.01433,0.80798,0.49508,0.5699,0.3038,1.43591,0.69455,1.00072,0.00999996,0.00999996,0.00999996
39,3552.7,1.49113,0.78832,1.01166,0.80959,0.49677,0.57377,0.30744,1.42612,0.68762,1.00029,0.00999996,0.00999996,0.00999996
40,3643.32,1.49425,0.79281,1.01211,0.81517,0.49787,0.57686,0.30914,1.43118,0.687,0.99669,0.00999996,0.00999996,0.00999996
41,3734.11,1.48514,0.78806,1.01361,0.80563,0.50225,0.57755,0.30978,1.42636,0.68437,0.99882,0.00999996,0.00999996,0.00999996
42,3824.7,1.48489,0.78802,1.01482,0.80924,0.50149,0.57828,0.30977,1.42841,0.6843,1.00013,0.00999996,0.00999996,0.00999996
43,3915.33,1.48894,0.7885,1.01459,0.80905,0.50211,0.57884,0.31091,1.42093,0.6796,0.99593,0.00999996,0.00999996,0.00999996
44,4005.8,1.48315,0.7856,1.0114,0.81194,0.49938,0.57654,0.30968,1.41958,0.67934,0.99339,0.00999996,0.00999996,0.00999996
45,4096.4,1.48336,0.78729,1.01257,0.81337,0.50083,0.57931,0.3103,1.42338,0.67996,0.99742,0.00999996,0.00999996,0.00999996
46,4186.52,1.4681,0.77541,1.00868,0.81842,0.49975,0.57848,0.31038,1.42175,0.6781,0.99548,0.00999996,0.00999996,0.00999996
47,4277.07,1.4837,0.78392,1.00989,0.81458,0.50387,0.58196,0.3129,1.41924,0.67601,0.99658,0.00999995,0.00999995,0.00999995
48,4368.25,1.49258,0.79127,1.01003,0.81364,0.5032,0.58099,0.31139,1.41821,0.6747,0.99278,0.00999995,0.00999995,0.00999995
49,4458.96,1.479,0.77888,1.01049,0.81823,0.50387,0.58282,0.31162,1.42105,0.67199,0.99446,0.00999995,0.00999995,0.00999995
50,4549.63,1.47615,0.77587,1.00841,0.81381,0.50346,0.58036,0.31009,1.42054,0.67232,0.99282,0.00999995,0.00999995,0.00999995
51,4640.21,1.47321,0.77725,1.00714,0.81817,0.50486,0.58363,0.31286,1.41538,0.66947,0.99382,0.00999995,0.00999995,0.00999995
52,4730.78,1.4765,0.77236,1.002,0.81043,0.51014,0.58487,0.3134,1.41727,0.66929,0.99239,0.00999995,0.00999995,0.00999995
53,4822,1.47998,0.77701,1.00311,0.81058,0.50963,0.58605,0.31366,1.41659,0.66661,0.99065,0.00999995,0.00999995,0.00999995
54,4912.67,1.47589,0.77425,1.00825,0.8139,0.50602,0.58435,0.31326,1.41112,0.66604,0.98963,0.00999995,0.00999995,0.00999995
55,5003.75,1.4804,0.7783,1.00556,0.81924,0.50562,0.58492,0.31313,1.41096,0.66836,0.9905,0.00999995,0.00999995,0.00999995
56,5094.83,1.47207,0.7705,1.0047,0.81649,0.50885,0.58672,0.31482,1.40891,0.66393,0.98898,0.00999995,0.00999995,0.00999995
